persid,hhid,persno,primary_mode_raw,travel_mode_3,hhinc_group,hh_income_3,anzsco1,occupation_5,homesubregion_asgs_person,homeregion_asgs_person,region_3,studying,anywork,edu_status_3,agegroup,age_stage_4,totalvehs,veh_own_3,sex,relationship,owndwell,homelga,persinc,perspoststratweight,hhpoststratweight,main_journey_duration_min
Y24H5740529P03,Y24H5740529,3,Vehicle Passenger,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,1,1 car,Female,Child,Fully Owned,Wyndham (C),Nil income,328.682755812,285.7284818,5.0
Y24H5740530P02,Y24H5740530,2,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",45->49,Adults,1,1 car,Male,Spouse,Being Rented,Wyndham (C),"$3,000-$3,499 ($156,000-$181,999)",429.658687345,330.5415627,29.0
Y24H5740530P03,Y24H5740530,3,Vehicle Passenger,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,10->14,Children,1,1 car,Male,Grandchild,Being Rented,Wyndham (C),Nil income,243.256577508,330.5415627,10.0
Y24H5740533P01,Y24H5740533,1,Vehicle Driver,Private,"$400-$499 ($20,800-$25,999)",Low,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",35->39,Adults,2,2+ cars,Male,Self,Fully Owned,Wyndham (C),"$400-$499 ($20,800-$25,999)",402.847679723,406.4524197,60.0
Y24H5740533P02,Y24H5740533,2,Vehicle Driver,Private,"$400-$499 ($20,800-$25,999)",Low,Clerical and Administrative Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",35->39,Adults,2,2+ cars,Female,Spouse,Fully Owned,Wyndham (C),Nil income,299.965153317,406.4524197,30.0
Y24H5740533P03,Y24H5740533,3,Vehicle Passenger,Private,"$400-$499 ($20,800-$25,999)",Low,Not in Work Force,Not in workforce,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Not applicable,"Not Studying, Not Working",5->9,Children,2,2+ cars,Male,Child,Fully Owned,Wyndham (C),Nil income,846.008892003,406.4524197,10.0
Y24H5740536P01,Y24H5740536,1,Vehicle Driver,Private,"$1,750-$1,999 ($91,000-$103,999)",Medium,Not in Work Force,Not in workforce,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,No,"Not Studying, Not Working",25->29,Young Adults,1,1 car,Female,Self,Being Purchased,Wyndham (C),"$1,750-$1,999 ($91,000-$103,999)",610.972399041,449.2660346,12.0
Y24H5740539P01,Y24H5740539,1,Vehicle Driver,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",25->29,Young Adults,1,1 car,Male,Self,Being Rented,Wyndham (C),"$650-$799 ($33,800-$41,599)",477.981506367,384.0427368,20.0
Y24H5740539P02,Y24H5740539,2,Vehicle Passenger,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Managers,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",25->29,Young Adults,1,1 car,Female,Spouse,Being Rented,Wyndham (C),"$650-$799 ($33,800-$41,599)",355.910690459,384.0427368,20.0
Y24H5750123P01,Y24H5750123,1,Vehicle Driver,Private,"$500-$649 ($26,000-$33,799)",Low,Labourers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",70->74,Seniors,2,2+ cars,Male,Self,Fully Owned,Mornington Peninsula (S),"$500-$649 ($26,000-$33,799)",610.56982043,972.0879918,3.5
Y24H5750204P02,Y24H5750204,2,Vehicle Passenger,Private,"$400-$499 ($20,800-$25,999)",Low,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Secondary,No,Currently Studying,15->19,Children,1,1 car,Female,Child,Being Purchased,Whitehorse (C),Nil income,482.723910037,431.9374433,25.0
Y24H5750208P01,Y24H5750208,1,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Professionals,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",65->69,Seniors,2,2+ cars,Female,Self,Fully Owned,Whitehorse (C),"$2,000-$2,999 ($104,000-$155,999)",453.38197222,560.0445692,35.0
Y24H5750208P02,Y24H5750208,2,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Professionals,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",60->64,Seniors,2,2+ cars,Female,Sibling,Fully Owned,Whitehorse (C),"$800-$999 ($41,600-$51,999)",562.165190698,560.0445692,30.0
Y24H5750216P03,Y24H5750216,3,Vehicle Passenger,Private,"$3,500-$3,999 ($182,000-$207,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Secondary,No,Currently Studying,15->19,Children,1,1 car,Female,Child,Being Purchased,Whitehorse (C),"$300-$399 ($15,600-$20,799)",516.056246283,461.7629477,12.0
Y24H5750217P01,Y24H5750217,1,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Professionals,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",55->59,Adults,2,2+ cars,Female,Self,Fully Owned,Whitehorse (C),"$1,750-$1,999 ($91,000-$103,999)",482.756360268,634.9665399,26.0
Y24H5750217P02,Y24H5750217,2,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Technicians and Trades Workers,Trades/Labourers,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",20->24,Young Adults,2,2+ cars,Male,Child,Fully Owned,Whitehorse (C),"$1,000-$1,249 ($52,000-$64,999)",502.062042391,634.9665399,7.0
Y24H5750218P01,Y24H5750218,1,Train,Public,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",50->54,Adults,1,1 car,Female,Self,Being Purchased,Whitehorse (C),"$2,000-$2,999 ($104,000-$155,999)",648.35110364,560.9110197,42.0
Y24H5750224P01,Y24H5750224,1,Vehicle Driver,Private,"$800-$999 ($41,600-$51,999)",Medium,Technicians and Trades Workers,Trades/Labourers,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",55->59,Adults,3,2+ cars,Male,Self,Fully Owned,Whitehorse (C),"$800-$999 ($41,600-$51,999)",1571.864132014,1845.226088,60.0
Y24H5750233P01,Y24H5750233,1,Vehicle Driver,Private,"$300-$399 ($15,600-$20,799)",Low,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Self,Being Rented,Whitehorse (C),"$150-$299 ($7,800-$15,599)",795.260765041,693.4638144,25.0
Y24H5750233P03,Y24H5750233,3,Train,Public,"$300-$399 ($15,600-$20,799)",Low,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Other relative,Being Rented,Whitehorse (C),"$1-$149 ($1-$7,799)",795.260765041,693.4638144,49.0
Y24H5750235P02,Y24H5750235,2,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Professionals,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",45->49,Adults,2,2+ cars,Female,Spouse,Being Purchased,Whitehorse (C),"$1-$149 ($1-$7,799)",1376.586534104,1040.371054,20.0
Y24H5750239P01,Y24H5750239,1,Vehicle Driver,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Managers,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",55->59,Adults,4,2+ cars,Male,Self,Fully Owned,Whitehorse (C),"$1,000-$1,249 ($52,000-$64,999)",1517.558354572,1754.839103,35.0
Y24H5750239P03,Y24H5750239,3,Vehicle Driver,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Professionals,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",25->29,Young Adults,4,2+ cars,Female,Child,Fully Owned,Whitehorse (C),"$300-$399 ($15,600-$20,799)",1393.83663153,1754.839103,60.0
Y24H5750239P05,Y24H5750239,5,Vehicle Passenger,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Sales Workers,Clerical/Service workers,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",20->24,Young Adults,4,2+ cars,Male,Child,Fully Owned,Whitehorse (C),"$500-$649 ($26,000-$33,799)",1408.596257245,1754.839103,35.0
Y24H5750309P02,Y24H5750309,2,Vehicle Driver,Private,"$1,500-$1,749 ($78,000-$90,999)",Medium,Managers,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",45->49,Adults,2,2+ cars,Male,Spouse,Fully Owned,Maribyrnong (C),"$650-$799 ($33,800-$41,599)",582.490959729,717.3755697,83.0
Y24H5750320P03,Y24H5750320,3,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Secondary,Yes,Currently Studying,15->19,Children,2,2+ cars,Female,Child,Being Purchased,Maribyrnong (C),"$150-$299 ($7,800-$15,599)",722.839292453,1014.99301,5.0
Y24H5750320P04,Y24H5750320,4,Public Bus,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Clerical and Administrative Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Secondary,Yes,Currently Studying,15->19,Children,2,2+ cars,Female,Child,Being Purchased,Maribyrnong (C),"$150-$299 ($7,800-$15,599)",722.839292453,1014.99301,22.0
Y24H5750324P01,Y24H5750324,1,Vehicle Driver,Private,"$1,500-$1,749 ($78,000-$90,999)",Medium,Machinery Operators and Drivers,Trades/Labourers,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",40->44,Adults,1,1 car,Male,Self,Being Rented,Maribyrnong (C),"$1,500-$1,749 ($78,000-$90,999)",560.101828454,713.7928146,17.0
Y24H5750324P03,Y24H5750324,3,Walking,Active,"$1,500-$1,749 ($78,000-$90,999)",Medium,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,1,1 car,Female,Child,Being Rented,Maribyrnong (C),Nil income,569.34697725,713.7928146,11.0
Y24H5750333P01,Y24H5750333,1,Vehicle Driver,Private,"$8,000 or more ($416,000 or more)",High,Managers,Managers/Professionals,MELB - Middle,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",55->59,Adults,3,2+ cars,Male,Self,Fully Owned,Maribyrnong (C),"$3,000-$3,499 ($156,000-$181,999)",1108.78437411,1271.140947,35.0
Y24H5750333P03,Y24H5750333,3,Train,Public,"$8,000 or more ($416,000 or more)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Fully Owned,Maribyrnong (C),"$1,000-$1,249 ($52,000-$64,999)",1198.378620849,1271.140947,36.0
Y24H5750333P04,Y24H5750333,4,Tram,Public,"$8,000 or more ($416,000 or more)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Fully Owned,Maribyrnong (C),"$800-$999 ($41,600-$51,999)",1622.420308778,1271.140947,60.0
Y24H5750401P01,Y24H5750401,1,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",30->34,Adults,2,2+ cars,Male,Self,Being Rented,Whittlesea (C),"$2,000-$2,999 ($104,000-$155,999)",435.600356185,407.0730183,30.0
Y24H5750401P03,Y24H5750401,3,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",30->34,Adults,2,2+ cars,Male,Other relative,Being Rented,Whittlesea (C),"$1,250-$1,499 ($65,000-$77,999)",435.600356185,407.0730183,60.0
Y24H5750401P04,Y24H5750401,4,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Labourers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Other relative,Being Rented,Whittlesea (C),"$150-$299 ($7,800-$15,599)",326.684065892,407.0730183,30.0
Y24H5750403P01,Y24H5750403,1,Vehicle Driver,Private,"$1,500-$1,749 ($78,000-$90,999)",Medium,Technicians and Trades Workers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",40->44,Adults,2,2+ cars,Male,Self,Being Rented,Whittlesea (C),"$1,500-$1,749 ($78,000-$90,999)",309.990096313,333.6627772,17.0
