persid,hhid,persno,primary_mode_raw,travel_mode_3,agegroup,sex,relationship,studying,anywork,anzsco1,anzsco2,emptype,persinc,hhinc_group,totalvehs,owndwell,homelga,homesubregion_asgs_person,homeregion_asgs_person,homesubregion_asgs_hh,homeregion_asgs_hh,perspoststratweight,hhpoststratweight,travdow_person,fulltimework,parttimework,casualwork,activities,mainact,anzsic1,anzsic2,startplace,numstops,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight_group_1,perspoststratweight_group_2,perspoststratweight_group_3,perspoststratweight_group_4,perspoststratweight_group_5,perspoststratweight_group_6,perspoststratweight_group_7,perspoststratweight_group_8,perspoststratweight_group_9,perspoststratweight_group_10,daytype_person,surveyperiod,hhsize,dwelltype,totalbikes,travmonth,travdow_hh,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhpoststratweight_group_1,hhpoststratweight_group_2,hhpoststratweight_group_3,hhpoststratweight_group_4,hhpoststratweight_group_5,hhpoststratweight_group_6,hhpoststratweight_group_7,hhpoststratweight_group_8,hhpoststratweight_group_9,hhpoststratweight_group_10,daytype_hh
Y24H5790502P03,Y24H5790502,3,Bicycle,Active,25->29,Male,Other relative,No Study,Yes,Professionals,Business Human Resource and Marketing Professionals,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$6,000-$7,999 ($312,000-$415,999)",2,Being Purchased,Brimbank (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,707.756676849,632.8011664,Tuesday,Yes,No,No,No other activity,Full-time Work,Financial and Insurance Services,Finance,At Home,2,Yes,No,No,Yes,No,Yes,No,No,No,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,780.772368568,0.0,709.916580724,756.316979118,869.181853104,620.250001013,852.910967457,761.940012475,711.88762402,891.686260968,Weekday,2023-24,3,Separate House,Missing/Refused,August,Tuesday,25->29,40->44,55->59,685.2466016,0.0,661.6694726,651.2364509,731.7908399,617.3270624,693.0541976,691.4825437,654.2640767,782.1746416,Weekday
Y24H5790508P02,Y24H5790508,2,Vehicle Driver,Private,40->44,Male,Spouse,No Study,Yes,Sales Workers,Sales Representatives and Agents,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)","$2,500-$2,999 ($130,000-$155,999)",2,Being Purchased,Brimbank (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,429.036859246,561.0808305,Monday,Yes,No,No,No other activity,Full-time Work,Construction,Construction (NEC),At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,459.878081041,0.0,445.279520748,474.210232844,538.905323896,436.616224968,473.125840183,436.618126701,428.720548868,538.439532808,Weekday,2023-24,3,Separate House,1,August,Monday,0->4,30->34,45->49,587.280404,0.0,593.3731912,607.416709,668.7738132,566.2515812,606.4943997,587.5961244,578.8202452,679.565009,Weekday
Y24H5790512P01,Y24H5790512,1,Vehicle Driver,Private,50->54,Male,Self,No Study,Yes,Community and Personal Service Workers,Sports and Personal Service Workers,Self-Employed,"$2,000-$2,999 ($104,000-$155,999)","$5,000-$5,999 ($260,000-$311,999)",4,Fully Owned,Brimbank (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,3033.110573412,2431.297066,Friday,Yes,No,No,No other activity,Full-time Work,Other Services,Other Services (NEC),At Home,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not applicable,No,No,No,3043.701967701,0.0,2875.231485283,3143.433811517,3387.970999533,3133.712453113,4022.528716127,3050.299974526,3311.529521112,3253.696826361,Weekday,2023-24,4,Separate House,0,September,Friday,15->19,35->39,50->54,2495.4752,0.0,2340.322004,2577.023554,2806.85817,2747.92475,3135.331285,2435.573554,2694.911652,2463.439876,Weekday
Y24H5790530P03,Y24H5790530,3,Vehicle Driver,Private,20->24,Male,Child,No Study,Yes,Professionals,Health Professionals,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)","$2,500-$2,999 ($130,000-$155,999)",2,Being Purchased,Brimbank (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,336.30799533,379.6806999,Tuesday,Yes,No,No,No other activity,Full-time Work,Education and Training,Preschool and School Education,At Home,6,Missing/Refused,No,No,No,No,No,No,No,No,Not applicable,No,No,No,343.485898644,459.480692962,355.916326355,344.749475433,371.596877541,307.148556455,467.73068951,359.067942472,0.0,458.808026563,Weekday,2023-24,3,Separate House,0,August,Tuesday,20->24,55->59,75->79,411.147961,538.5124629,397.0016836,390.7418706,439.0745039,370.3962374,415.8325186,414.8895262,0.0,469.304785,Weekday
Y24H5790531P01,Y24H5790531,1,Vehicle Driver,Private,60->64,Male,Self,No Study,Yes,Machinery Operators and Drivers,Storepersons,Paid Employee,"$650-$799 ($33,800-$41,599)","$1,250-$1,499 ($65,000-$77,999)",2,Fully Owned,Brimbank (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,576.395498312,372.1124743,Wednesday,No,No,Yes,No other activity,Casual Work,Wholesale Trade,Other Goods Wholesaling,At Home,2,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,633.858243177,821.651939271,567.273651362,558.193152615,693.765144363,702.975543344,658.202912565,595.661410216,0.0,671.776749159,Weekday,2023-24,4,Separate House,6,August,Wednesday,25->29,45->49,60->64,385.3683719,567.8252547,384.4504601,382.9021898,439.8508184,418.8932733,406.3629441,400.7462734,0.0,422.2403336,Weekday
Y24H5800202P04,Y24H5800202,4,Vehicle Driver,Private,20->24,Male,Child,Full-time TAFE/Uni,Yes,Community and Personal Service Workers,Hospitality Workers,Paid Employee,"$150-$299 ($7,800-$15,599)","$3,500-$3,999 ($182,000-$207,999)",2,Being Purchased,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,822.786940375,601.7022342,Tuesday,No,No,Yes,No other activity,Full-time TAFE/Uni,Arts and Recreation Services,Creative and Performing Arts Activities,At Home,6,No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,Yes,728.420327946,0.0,864.778899831,864.317066756,765.739193681,1007.982522737,889.316110332,1066.429767677,1317.277589869,821.284589118,Weekday,2023-24,4,Separate House,2,September,Tuesday,20->24,35->39,50->54,584.2862117,0.0,669.5518363,664.6731729,571.3940938,814.713989,674.4699883,614.7820734,804.1313368,602.8357145,Weekday
Y24H5800202P01,Y24H5800202,1,Vehicle Driver,Private,50->54,Male,Self,No Study,Yes,Professionals,Health Professionals,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)",2,Being Purchased,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,568.831459183,601.7022342,Tuesday,Yes,No,No,No other activity,Full-time Work,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,2,No,No,No,No,No,No,No,No,Yes,Not applicable,Yes,No,Yes,607.1385894,0.0,665.839540627,592.076282475,544.270559813,759.35773619,729.897431998,522.729307514,689.032877626,562.07390874,Weekday,2023-24,4,Separate House,2,September,Tuesday,20->24,35->39,50->54,584.2862117,0.0,669.5518363,664.6731729,571.3940938,814.713989,674.4699883,614.7820734,804.1313368,602.8357145,Weekday
Y24H5800210P01,Y24H5800210,1,Vehicle Passenger,Private,55->59,Male,Self,No Study,Yes,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Self-Employed,"$3,000-$3,499 ($156,000-$181,999)","$5,000-$5,999 ($260,000-$311,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,494.00000906,604.8783416,Wednesday,Yes,No,No,No other activity,Full-time Work,Construction,Construction Services,At Home,11,No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,408.201479244,0.0,503.136028327,537.248327203,485.511886004,678.995602096,549.520189723,480.62273629,976.680970056,487.874317623,Weekday,2023-24,4,Separate House,2,September,Wednesday,15->19,35->39,55->59,590.3480247,0.0,696.6727319,687.2368843,580.4569403,851.8738634,649.5036499,587.2606758,817.3565252,594.1986815,Weekday
Y24H5800210P02,Y24H5800210,2,Vehicle Driver,Private,50->54,Female,Spouse,No Study,Yes,Managers,Specialist Managers,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)","$5,000-$5,999 ($260,000-$311,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,793.121040398,604.8783416,Wednesday,No,Yes,No,No other activity,Part-time Work,Education and Training,Adult Community and Other Education,At Home,7,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,849.294710597,0.0,947.724697557,882.094433615,773.377266464,998.976756098,926.817514257,693.032469137,1073.212981399,769.546692612,Weekday,2023-24,4,Separate House,2,September,Wednesday,15->19,35->39,55->59,590.3480247,0.0,696.6727319,687.2368843,580.4569403,851.8738634,649.5036499,587.2606758,817.3565252,594.1986815,Weekday
Y24H5800210P04,Y24H5800210,4,Train,Public,15->19,Female,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,"$1-$149 ($1-$7,799)","$5,000-$5,999 ($260,000-$311,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,766.833622055,604.8783416,Wednesday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,5,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,No,No,No,776.231538469,0.0,903.543000026,867.612883076,754.881040708,788.368526318,978.494496516,645.951308151,999.843459359,748.625680937,Weekday,2023-24,4,Separate House,2,September,Wednesday,15->19,35->39,55->59,590.3480247,0.0,696.6727319,687.2368843,580.4569403,851.8738634,649.5036499,587.2606758,817.3565252,594.1986815,Weekday
Y24H5800211P01,Y24H5800211,1,Vehicle Driver,Private,65->69,Female,Self,No Study,Yes,Technicians and Trades Workers,Other Technicians and Trades Workers,Paid Employee,"$800-$999 ($41,600-$51,999)","$800-$999 ($41,600-$51,999)",1,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,442.268683392,651.8847059,Thursday,Yes,No,No,No other activity,Full-time Work,Education and Training,Tertiary Education,At Home,5,No,No,No,No,No,No,No,No,No,Not applicable,No,Yes,Yes,411.684425319,0.0,585.15864537,520.720831351,522.683402244,343.554755091,601.42960663,429.189294988,690.079092703,452.559142043,Weekday,2023-24,1,"Unit, Flat or Apartment",0,September,Thursday,65->69,65->69,65->69,630.2044727,0.0,826.2337544,750.8853903,716.3115983,741.5262954,730.9835102,593.2876259,943.5483455,655.7541619,Weekday
Y24H5800215P01,Y24H5800215,1,Train,Public,50->54,Male,Self,No Study,Yes,Professionals,Legal Social and Welfare Professionals,Employer,"$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,689.50868317,729.3529718,Monday,Yes,No,No,No other activity,Full-time Work,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At Home,6,Yes,No,No,No,No,Yes,No,No,No,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,684.533358403,0.0,751.864824396,696.740487794,666.622628611,788.265209525,910.806282359,709.928160447,820.596944624,680.174336244,Weekday,2023-24,5,Separate House,1,September,Monday,10->14,30->34,50->54,658.7678822,0.0,756.0567421,782.1706838,699.8435354,845.7287819,841.6408603,834.9466926,957.6723252,729.5008283,Weekday
Y24H5800215P03,Y24H5800215,3,Vehicle Passenger,Private,20->24,Male,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$3,500-$3,999 ($182,000-$207,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,1027.916110966,729.3529718,Monday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,4,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,No,No,No,1039.102136471,0.0,1158.465632631,1093.893899567,1005.804657959,1330.28757143,1321.317395165,926.919347838,893.116716685,1019.614369538,Weekday,2023-24,5,Separate House,1,September,Monday,10->14,30->34,50->54,658.7678822,0.0,756.0567421,782.1706838,699.8435354,845.7287819,841.6408603,834.9466926,957.6723252,729.5008283,Weekday
Y24H5800215P04,Y24H5800215,4,Vehicle Passenger,Private,15->19,Male,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$3,500-$3,999 ($182,000-$207,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,666.655420828,729.3529718,Monday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,3,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,625.644284954,0.0,716.813860397,685.301936317,650.679565417,622.080021169,961.590519138,661.699190668,764.49735707,661.683014838,Weekday,2023-24,5,Separate House,1,September,Monday,10->14,30->34,50->54,658.7678822,0.0,756.0567421,782.1706838,699.8435354,845.7287819,841.6408603,834.9466926,957.6723252,729.5008283,Weekday
Y24H5800215P05,Y24H5800215,5,Vehicle Passenger,Private,10->14,Female,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$3,500-$3,999 ($182,000-$207,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,673.431985953,729.3529718,Monday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,3,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,588.090179356,0.0,700.66474651,789.4154075,663.253782808,486.791259862,779.273836519,1046.988908154,950.796450085,678.560196427,Weekday,2023-24,5,Separate House,1,September,Monday,10->14,30->34,50->54,658.7678822,0.0,756.0567421,782.1706838,699.8435354,845.7287819,841.6408603,834.9466926,957.6723252,729.5008283,Weekday
Y24H5800216P01,Y24H5800216,1,Train,Public,55->59,Male,Self,No Study,Yes,Technicians and Trades Workers,Engineering ICT and Science Technicians,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$6,000-$7,999 ($312,000-$415,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,460.906391644,752.475813,Tuesday,Yes,No,No,No other activity,Full-time Work,Electricity Gas Water and Waste Services,Electricity Gas Water and Waste Services (NEC),At Home,6,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,418.247417112,0.0,450.812782914,490.63141808,444.306128281,500.946670987,626.512998168,454.797031936,867.329349444,468.241366293,Weekday,2023-24,3,Separate House,Missing/Refused,September,Tuesday,20->24,40->44,55->59,806.5021779,0.0,832.2970472,836.8073385,708.2574995,837.9894747,987.340075,740.9398742,967.7910188,760.3827254,Weekday
Y24H5800216P03,Y24H5800216,3,Walking,Active,20->24,Male,Child,Full-time TAFE/Uni,Yes,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Paid Employee,"$1-$149 ($1-$7,799)","$6,000-$7,999 ($312,000-$415,999)",2,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,620.487540694,752.475813,Tuesday,No,No,Yes,No other activity,Full-time TAFE/Uni,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,2,No,No,No,No,No,No,No,No,No,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,690.399115883,0.0,671.329015059,656.73365466,582.505538059,798.040674064,759.942501714,638.147765324,757.217549388,626.696598056,Weekday,2023-24,3,Separate House,Missing/Refused,September,Tuesday,20->24,40->44,55->59,806.5021779,0.0,832.2970472,836.8073385,708.2574995,837.9894747,987.340075,740.9398742,967.7910188,760.3827254,Weekday
Y24H5800217P01,Y24H5800217,1,Train,Public,55->59,Male,Self,No Study,Yes,Professionals,Business Human Resource and Marketing Professionals,Employer,"$3,000-$3,499 ($156,000-$181,999)","$4,500-$4,999 ($234,000-$259,999)",4,Fully Owned,Boroondara (C),MELB - Inner,Greater Melbourne,MELB - Inner,Greater Melbourne,725.218537364,1166.288604,Wednesday,Yes,No,No,No other activity,Full-time Work,Financial and Insurance Services,Financial and Insurance Services (NEC),At Home,11,Yes,No,No,No,No,Yes,No,No,No,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,676.828540014,0.0,720.949080166,693.975370289,699.24762669,1659.168756438,764.481299359,669.681999328,825.168784951,718.801964879,Weekday,2023-24,5,Separate House,6,September,Wednesday,15->19,30->34,55->59,1136.596067,0.0,1227.223185,1203.217191,1104.924791,1962.096747,1192.13235,1313.203294,1211.241726,1160.913202,Weekday
